#name,region,country,latitude,longitude,location_type,conflict_date,population
Shehyni,Poland,Poland,49.7997107051379,22.9473589152849,camp,,
Smilnytsia,Poland,Poland,49.4815550002911,22.7013070001637,camp,,
Uhryniv,Poland,Poland,50.5785250002374,24.0836589998308,camp,,
Ustyluh,Poland,Poland,50.8592650004607,24.1346850003948,camp,,
Yahodyn,Poland,Poland,51.1852213611046,23.80777061,camp,,
Diakove,Romania,Romania,48.0001942688208,23.002530228314,camp,,
Orlivka,Romania,Romania,45.29415433,28.45765853,camp,,
Porubne,Romania,Romania,47.9889804990189,26.0600757026769,camp,,
Solotvyno,Romania,Romania,47.940601987896,23.8781014459885,camp,,
Uzhhorod,Slovakia,Slovakia,48.6555219632231,22.2659826188978,camp,,
Alchevsk,Ukraine,Ukraine,48.46893,38.81669,town,,116000
Antratsyt,Ukraine,Ukraine,48.11503,39.09128,town,,61600
Berdychiv,Ukraine,Ukraine,49.89928,28.60235,town,,86250
Bila_Tserkva,Ukraine,Ukraine,49.80939,30.11209,town,,199163
Bilhorod-Dnistrovskyi,Ukraine,Ukraine,46.1952,30.34938,town,,50201
Boryspil,Ukraine,Ukraine,50.35269,30.95501,town,,55000
Chechelnik,Ukraine,Ukraine,48.2106,29.363,town,,
Cherkasy,Ukraine,Ukraine,49.42854,32.06207,town,,297568
Chernivtsi,Ukraine,Ukraine,48.29149,25.94034,town,,236250
Chervonohrad,Ukraine,Ukraine,50.39105,24.23514,town,,83000
Chornomorsk,Ukraine,Ukraine,46.30495,30.65478,town,,54102
Drohobych,Ukraine,Ukraine,49.34991,23.50561,town,,79406
Druzhkivka,Ukraine,Ukraine,48.63013,37.55259,town,,62315
Fastiv,Ukraine,Ukraine,50.0767,29.9177,town,,51143
Feodosiya,Ukraine,Ukraine,45.03677,35.37789,town,,68562
Ivano-Frankivsk,Ukraine,Ukraine,48.9215,24.70972,town,,204200
Kalush,Ukraine,Ukraine,49.01187,24.37308,town,,67698
Kamianets-Podilskyi,Ukraine,Ukraine,48.6845,26.58559,town,,100000
Kamianske,Ukraine,Ukraine,48.51134,34.6021,town,,248575
Khartsyzk,Ukraine,Ukraine,48.04243,38.14728,town,,64000
Khmelnytskyi,Ukraine,Ukraine,49.42161,26.99653,town,,398346
Kolomyia,Ukraine,Ukraine,48.53115,25.03649,town,,61781
Kovel,Ukraine,Ukraine,51.21526,24.70867,town,,66400
Krasnyy_Luch,Ukraine,Ukraine,48.13954,38.93715,town,,90005
Kremenchuk,Ukraine,Ukraine,49.06802,33.42041,town,,227494
Lubny,Ukraine,Ukraine,50.01625,32.99694,town,,52600
