"#name","country","latitude","longitude","location_type","conflict_date","population"
"Kryvyi_Rih","Ukraine",47.90966,33.38044,"town",,652380
"Lubny","Ukraine",50.01625,32.99694,"town",,52600
"Lviv","Ukraine",49.83826,24.02324,"town",,717803
"Marhanets","Ukraine",47.63543,34.62769,"town",,50443
"Michalovce","Slovakia",48.75434,21.9195,"camp",,40360
"Miskolc","Hungry",48.1,20.78333,"camp",,172637
"Mukacheve","Ukraine",48.43919,22.71779,"town",,81633
"Nikopol","Ukraine",47.57119,34.39637,"town",,130500
"Novohrad-Volynskyi","Ukraine",50.59412,27.6165,"town",,55925
"Novomoskovsk","Ukraine",48.63799,35.24548,"town",,73100
"Novovolynsk","Ukraine",50.72576,24.16265,"town",,57800
"Nyiregyhaza","Hungry",47.95539,21.71671,"camp",,116298
"Odessa","Ukraine",46.47747,30.73262,"town",,1001558
"Oleksandriya","Ukraine",48.66961,33.11593,"town",,103000
"Pavlohrad","Ukraine",48.53426,35.87098,"town",,115932
"Poltava","Ukraine",49.59373,34.54073,"town",,317847
"Przemysl","Poland",49.78498,22.76728,"camp",,67013
"Radauti","Romania",47.85,25.91667,"camp",,23822
"Ribnita","Moldova",47.76817,29.01,"camp",,55455
"Rivne","Ukraine",50.62308,26.22743,"town",,255106
"Rovenky","Ukraine",48.08331,39.37764,"town",,53600
"Satu Mare","Romania",47.79926,22.86255,"camp",,112490
"Sevastopol","Ukraine",44.58883,33.5224,"town",,416263
"Shakhtarsk","Ukraine",48.05657,38.43826,"town",,71700
"Shostka","Ukraine",51.86296,33.4698,"town",,85432
"Sighetu Marmatiei","Romania",47.93195,23.88603,"camp",,40653
"Simferopol","Ukraine",44.95719,34.11079,"town",,336460
"Siret","Romania",47.950797,26.067312,"crossing",,
"Sloviansk","Ukraine",48.86667,37.61667,"town",,124800
"Smila","Ukraine",49.22242,31.88714,"town",,67530
"Snina","Slovakia",48.98857,22.15099,"camp",,22221
"Snizhne","Ukraine",48.02612,38.77225,"town",,55587
"Soroca","Moldova",48.15659,28.28489,"camp",,27423
"Stryi","Ukraine",49.26223,23.85609,"town",,61404
"Sverdlovsk","Ukraine",48.08964,39.65243,"town",,68000
"Ternopil","Ukraine",49.55342,25.58918,"town",,235676
"Tibava","Slovakia",48.738409,22.208419,"crossing",,
"Tiraspol","Moldova",46.84274,29.62909,"camp",,157000
"Trebisov","Slovakia",48.62858,21.71954,"camp",,22947
"Tudorkovychi","Ukraine",50.578843,24.169836,"town",,
"Uzhgorod","Ukraine",48.61667,22.3,"town",,117878
"Yalta","Ukraine",44.50218,34.16624,"town",,77003
"Yenakiyeve","Ukraine",48.23331,38.21137,"town",,104101
"Yevpatoriya","Ukraine",45.20091,33.36655,"town",,106202
"Zamosc","Poland",50.72314,23.25196,"camp",,66034
"Zemplinske_Jastrabie","Slovakia",48.506028,21.784933,"crossing",,
"Zhovti_Vody","Ukraine",48.34493,33.50374,"town",,51559
