country,percent_IndividualPerCountry_of_recorded,predicted_shares
Hungary,0.094222128315939,0.2566266587234177
Moldova,0.093681778504152,0.17011701265508963
Poland,0.586409910719845,0.3889777954720548
Romania,0.154560801947218,0.09294495444011786
Slovakia,0.071125380512845,0.0520476600155971
