country,bilateral_migration,export_trade_share,migrant_ratio,same_language,touching,Total_pop_left_conflict_zone,individualPerCountry,population,gdp_millions,percent_IndividualPerCountry_of_total,v2xeg_eqdr,v2x_libdem,average_pop,average_refugee,average_gdp,total_recored_migrants,percent_IndividualPerCountry_of_recorded,average_eqdr,average_lib,average_bilateral_migration,average_export_trade_share,average_migr_ratio,gdp_per_cap,normalized_pop,normalized_refugee,normalized_gdp,normalized_qrdp,normalized_lib,normalized_migr_ratio,normalized_bilateral_migr,normalized_export_trade,Afghanistan,Burundi,Central African Republic,Democratic Republic of the Congo,Somalia,South Sudan,Syria,Ukraine,Venezuela
Hungary,50222,3.48,5.3,0,1,4320000,404021,9750000,180959,0.09352337962963,0.859,0.765,17428275.25,995745,283991.5,3982980,0.101436863855706,0.856,0.49375,44178.25,3.41,3,0.018559897435897,-0.498184831880183,-0.580183294367024,-0.378512639359336,0.03682529648319,0.748804099222718,1.45464772367745,0.301328481244331,0.028331800609389,0,0,0,0,0,0,0,1,0
Iran,318,1.73,3.2,0,1,2221828,38180,83183741,1081383,0.017184048450195,0.801,0.152,88753429.5,43615,354190.5,174460,0.218846727043448,0.499,0.15975,381048.25,9.215,2.775,0.01299993228244,-0.057372308046812,-0.106122347111014,1.46374076657705,0.742257497420114,-0.098849172895607,0.480448406102589,-0.503300059250828,-0.447075371849187,1,0,0,0,0,0,0,0,0
Iraq,257096,20.21,0.9,1,1,5721883,256861,40222503,201472,0.044890991304786,0.528,0.062,49095809.6,1134667,291644.4,5673335,0.045275133585448,0.5292,0.224,1127515,7.318,13.74,0.005008937409987,-0.205640156472163,-0.586109442189625,-0.282221081061089,-0.005562373211656,-0.90728899126861,-0.836889755839587,-0.686470834471842,1.77660854110855,0,0,0,0,0,0,1,0,0
Jordan,724847,3.58,33.1,1,1,5721883,674268,11042719,45344,0.117840228470243,0.66,0.118,49095809.6,1134667,291644.4,5673335,0.11884861373425,0.5292,0.224,1127515,7.318,13.74,0.00410623506765,-0.881885846842416,-0.307407560525516,-0.770869635872825,0.606298680070527,-0.593658228854769,1.26185246674879,-0.317571006578565,-0.515122768124709,0,0,0,0,0,0,1,0,0
Kenya,11231,0.06,2,1,0,1018762,48284,54985698,109491,0.047394779153522,0.352,0.116,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.048251767819097,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.001991263255401,1.34996015048604,-0.243399760888995,0.398839809536749,0.225441315841639,-0.364636827356943,-0.446252918672999,-0.963125210604805,-0.345506385759212,0,0,0,1,0,0,0,0,0
Kenya,0,0.046,2,1,1,2351680,139846,54985698,109491,0.059466424003266,0.352,0.116,70735661.4,470336,67248.4,2351680,0.059466424003266,0.2604,0.0684,326312.6,0.5712,2.2,0.001991263255401,-0.477635138187859,-0.826072888486158,1.31192572835903,1.1867814191362,0.826446183331903,-0.165521177720474,-0.881118108455579,-0.449782309383651,0,0,0,0,0,1,0,0,0
Kenya,485864,0.18,2,1,1,633429,278998,54985698,109491,0.440456625762319,0.352,0.116,49936392.2,126685.8,53443.2,633429,0.440456625762319,0.2382,0.0676,256562.8,0.068,1.76,0.001991263255401,0.118861109224593,1.26605931059379,1.21119550223566,1.18514664448108,0.802078972797439,0.183104771626292,0.995647133760248,1.43755237709894,0,0,0,0,1,0,0,0,0
Lebanon,1209286,3.84,27.2,1,1,5721883,839788,6859408,19126,0.146767768582475,0.558,0.263,49095809.6,1134667,291644.4,5673335,0.148023693295037,0.5292,0.224,1127515,7.318,13.74,0.002788287269105,-0.978834680844356,-0.196890162750579,-0.852926587925333,0.133496957079749,0.218421423823925,0.877300320373897,0.064490097993721,-0.479292934065741,0,0,0,0,0,0,1,0,0
Malawi,2250,0,1.3,0,0,1018762,33089,19129952,12150,0.032479617418003,0.394,0.08,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.033066911303249,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.000635129664727,-0.370618762824737,-0.372308783901756,-0.436619351869822,0.438033644770024,-0.575056106275622,-0.756245404163404,-1.04348142742995,-0.349645457804861,0,0,0,1,0,0,0,0,0
Mexico,15664,0.05,0.8,1,0,5041821,82978,126014024,1285518,0.016457942477529,0.298,0.145,47759959.8181818,449712.909090909,415191.363636364,4946842,0.0167739337541,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.010201388378805,1.19888671970596,-0.624366750505892,1.60244254498297,-1.00034671450392,-1.04788328656218,-1.16134046325458,0.232150499563543,-0.132493128567109,0,0,0,0,0,0,0,0,1
Moldova,62728,1.67,2.6,0,1,4320000,401704,2597100,12396,0.092987037037037,0.74,0.359,17428275.25,995745,283991.5,3982980,0.100855138614806,0.856,0.49375,44178.25,3.41,3,0.004773016056371,-0.962282063085298,-0.582455104692528,-0.997766040260291,-1.42391146401667,-0.371986552517092,-0.25298221281347,0.924850960903747,-0.704247615147681,0,0,0,0,0,0,0,1,0
Pakistan,1515738,34.31,1.5,0,1,2221828,117550,226992332,261726,0.05290688568152,0.1,0.271,88753429.5,43615,354190.5,174460,0.673793419695059,0.499,0.15975,381048.25,9.215,2.775,0.001153016922175,1.42397279457967,1.44363490959573,-0.186118611112139,-0.980664706856376,1.41896393350145,-1.44134521830776,1.49998435481895,1.49891201824387,1,0,0,0,0,0,0,0,0
Panama,10204,0.01,4.4,1,0,5041821,121598,4379039,60121,0.024117873284276,0.697,0.563,47759959.8181818,449712.909090909,415191.363636364,4946842,0.024580934664984,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.013729267996928,-0.664614808205933,-0.558616140714447,-0.653754387583461,0.761499886602704,0.462040671950169,0.289419232167544,-0.168486216825929,-0.580931409871169,0,0,0,0,0,0,0,0,1
Peru,3764,0.01,2.4,1,0,5041821,1286464,34294231,225858,0.255158602417658,0.265,0.041,47759959.8181818,449712.909090909,415191.363636364,4946842,0.260057628685129,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.006585889037722,-0.206300894657314,1.42457002772993,-0.348599967413702,-1.14606335068567,-1.42355814705329,-0.5165583764003,-0.641032087439152,-0.580931409871169,0,0,0,0,0,0,0,0,1
Poland,48065,6.88,1.7,0,1,4320000,2514504,38179800,655332,0.582061111111111,0.907,0.808,17428275.25,995745,283991.5,3982980,0.631312233553771,0.856,0.49375,44178.25,3.41,3,0.017164364402118,1.34640847485068,1.48913784123944,1.36420132245666,0.626030040214228,0.86750852785526,-0.822192191643779,0.193785062995061,1.40444783020831,0,0,0,0,0,0,0,1,0
Republic of the Congo,33186,0.1,1.1,1,1,737973,28985,5657000,12744,0.039276504695971,0.155,0.036,33218828.8333333,122973.5,27318.1666666667,737841,0.039283531275709,0.1785,0.048,117327.333333333,2.34183333333333,3.01666666666667,0.002252784161216,-0.857468238615391,-0.69993057371102,-0.702491811942931,-0.255575230559231,-0.44883733404681,-0.765952111333109,-0.64896267883527,-0.419280289296742,0,0,1,0,0,0,0,0,0
Republic of the Congo,266319,0.38,1.1,1,1,1018762,22100,5657000,12744,0.021692996008881,0.155,0.036,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.022085247054967,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.002252784161216,-1.01713374849114,-0.465535585737046,-0.431521163625655,-0.771717941274834,-0.832235224954008,-0.844814685732091,1.31923829429374,-0.323431334849086,0,0,0,1,0,0,0,0,0
Romania,15698,1.61,2.4,0,1,4320000,662751,19186201,287279,0.153414583333333,0.918,0.043,17428275.25,995745,283991.5,3982980,0.166395763975717,0.856,0.49375,44178.25,3.41,3,0.014973209130875,0.114058420114803,-0.326499442179889,0.012077357162971,0.761056127319258,-1.24432607456089,-0.379473319220206,-1.41996450514314,-0.728532015670015,0,0,0,0,0,0,0,1,0
Rwanda,64729,1.41,4.3,1,1,263736,47989,12374397,10395,0.18195847362514,0.168,0.153,52168663,65934,44427,263736,0.18195847362514,0.287,0.176,101020.25,4.41,3.025,0.000840040932904,-1.18715302105846,-0.441442036279935,-1.35823061832942,-0.607032256384649,-0.161024316507828,0.89067967796243,-0.407586082974846,-0.667936678883642,0,1,0,0,0,0,0,0,0
Rwanda,231438,0.02,4.3,1,1,1018762,77116,12374397,10395,0.075695795485108,0.168,0.153,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.077064520900039,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.000840040932904,-0.694791783258092,0.001200762408401,-0.451682180773044,-0.705915553749381,-0.1483725684683,0.5722938193669,1.00714552076317,-0.348265767122978,0,0,0,1,0,0,0,0,0
South Africa,50340,52.72,7.2,0,0,1018762,57595,60142978,435145,0.056534303399616,0.385,0.666,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.057556552223115,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.007235175484659,1.59743812007115,-0.16440851947591,3.19386572614635,0.392478145713942,2.85010215612288,1.85654840211286,-0.61320300997962,3.28721917963845,0,0,0,1,0,0,0,0,0
South Sudan,87871,0.01,7.8,0,1,1018762,18514,12778250,3263,0.01817303747097,0.022,0.05,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.018501640903876,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.00025535578033,-0.675412435917855,-0.495957945495108,-0.512894770937021,-1.44492698288139,-0.750405505374522,2.12225624681892,-0.277399739334402,-0.34895561246392,0,0,0,1,0,0,0,0,0
South Sudan,4580,0.001,7.8,0,1,737973,2453,12778250,3263,0.003323969847135,0.022,0.05,33218828.8333333,122973.5,27318.1666666667,737841,0.003324564506445,0.1785,0.048,117327.333333333,2.34183333333333,3.01666666666667,0.00025535578033,-0.635921049886937,-0.897513873600908,-1.1594870571163,-1.70202228010722,0.074806222341135,1.91155005176176,-0.869594152753302,-0.437795826568488,0,0,1,0,0,0,0,0,0
Sudan,301885,0.05,2.9,1,1,2351680,799911,45709353,35919,0.340144492447952,0.248,0.034,70735661.4,470336,67248.4,2351680,0.340144492447952,0.2604,0.0684,326312.6,0.5712,2.2,0.000785812916669,-0.758950606257661,0.823785809624574,-0.972995173451713,-0.160655999970403,-0.597263628290283,0.579324122021657,-0.065960066225176,-0.446356701543714,0,0,0,0,0,1,0,0,0
Sudan,15909,0.04,2.9,0,1,737973,27867,45709353,35919,0.037761544121533,0.248,0.034,33218828.8333333,122973.5,27318.1666666667,737841,0.03776829967432,0.1785,0.048,117327.333333333,2.34183333333333,3.01666666666667,0.000785812916669,0.388589154273452,-0.708256298468931,0.414570186463662,0.755850149951769,-0.523643556387944,-0.046623171994189,-0.782216191206165,-0.430501827037194,0,0,1,0,0,0,0,0,0
Tajikistan,7704,0.58,2.9,0,1,2221828,5710,9537645,8150,0.002569955910178,0.895,0.126,88753429.5,43615,354190.5,174460,0.032729565516451,0.499,0.15975,381048.25,9.215,2.775,0.000854508633945,-0.815986816947464,-0.740122827459609,-0.696533018061526,0.973291288007831,-0.430472204545383,0.141308354736055,-0.493536258665961,-0.515764306735836,1,0,0,0,0,0,0,0,0
Tanzania,233606,1.75,2.8,1,1,263736,126663,61193226,69238,0.480264355264355,0.569,0.374,52168663,65934,44427,263736,0.480264355264355,0.287,0.176,101020.25,4.41,3.025,0.001131465106938,0.269223139564438,1.49391660190828,0.990216850945321,1.43851341428967,1.38620933341521,-0.157178766699252,1.48906710297336,-0.592237188610163,0,1,0,0,0,0,0,0,0
Tanzania,105174,6.61,0.9,1,1,1018762,79839,61193226,69238,0.078368647436791,0.569,0.374,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.079785703150296,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.001131465106938,1.64783546956562,0.024301734416545,0.053356019313732,1.32383501530496,1.14336800489359,-0.933383967300777,-0.122583614211857,0.106342312557435,0,0,0,1,0,0,0,0,0
Turkey,3271533,5.54,7,0,1,5721883,3763565,84680273,795952,0.657749380754552,0.729,0.515,49095809.6,1134667,291644.4,5673335,0.663377889724474,0.5292,0.224,1127515,7.318,13.74,0.009399497330388,0.824675056483899,1.75531033093123,1.57837914993195,0.926135139740758,1.62975985468621,-0.439301943485889,1.69091647308095,-0.245020942141716,0,0,0,0,0,0,1,0,0
Uganda,40404,0.01,3.9,1,0,633429,56905,42729036,43243,0.089836429970841,0.27,0.144,49936392.2,126685.8,53443.2,633429,0.089836429970841,0.2382,0.0676,256562.8,0.068,1.76,0.00101202844829,-0.169661808264563,-0.580036474692657,-0.220426785028211,0.331174545645854,1.26609160168852,1.63268421366777,-0.938581610811695,-0.744446766711949,0,0,0,0,1,0,0,0,0
Uganda,64092,3.47,3.9,1,0,263736,48555,42729036,43243,0.184104559104559,0.27,0.144,52168663,65934,44427,263736,0.184104559104559,0.287,0.176,101020.25,4.41,3.025,0.00101202844829,-0.281605438097915,-0.427518592839732,-0.047253909617479,-0.086718893769236,-0.224033831663065,0.611250759385982,-0.414740213374184,-0.209286826050208,0,1,0,0,0,0,0,0,0
Uganda,903199,0.05,3.9,1,1,2351680,964960,42729036,43243,0.410327935773575,0.27,0.144,70735661.4,470336,67248.4,2351680,0.410327935773575,0.2604,0.0684,326312.6,0.5712,2.2,0.00101202844829,-0.849332030390915,1.23633234407872,-0.745534173548735,0.124378838686764,1.31259099705655,1.40693001062403,1.557724260607,-0.446356701543714,0,0,0,0,0,1,0,0,0
Uganda,298749,0.06,3.9,1,1,1018762,459073,42729036,43243,0.450618495782136,0.27,0.144,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.458766543948642,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.00101202844829,0.761810229277387,3.2415892917197,-0.169754087432283,-0.189619897780446,-0.20097738819797,0.395155256229526,1.60940109483261,-0.345506385759212,0,0,0,1,0,0,0,0,0
Uzbekistan,433,0.24,3.5,0,1,2221828,13020,35300000,65503,0.00586003957102,0.2,0.09,88753429.5,43615,354190.5,174460,0.074630287745042,0.499,0.15975,381048.25,9.215,2.775,0.001855609065156,-0.550613669585393,-0.597389735025108,-0.581089137403387,-0.73488407857157,-0.889642556060459,0.819588457469121,-0.50314803690216,-0.536072339658845,1,0,0,0,0,0,0,0,0
Yemen,278891,0.02,1.3,0,0,633429,68649,30491000,19471,0.108376787295814,0.124,0.054,49936392.2,126685.8,53443.2,633429,0.108376787295814,0.2382,0.0676,256562.8,0.068,1.76,0.000638581876619,-0.457746268051194,-0.482417239046311,-0.734140784135153,-1.18931236203637,-0.225377562604239,-0.350950812283727,0.0969511207618,-0.616093875899544,0,0,0,0,1,0,0,0,0
Zambia,22670,5.68,1,0,1,1018762,66027,17351708,21699,0.064811015723005,0.706,0.144,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.065982923407164,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.001250539716321,-0.455949831633664,-0.092874404171955,-0.354662113581009,2.01729094538089,-0.20097738819797,-0.889099326516434,-0.860776389286144,0.042186695849881,0,0,0,1,0,0,0,0,0
Zimbabwe,3204,0,2.8,0,0,1018762,11284,15092171,25791,0.011076188550417,0.458,0.211,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.01127646731983,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.001708899269694,-0.564376294606865,-0.557294716563371,-0.3195412612323,0.761983860279945,0.190636269789573,-0.091975792398252,-1.03494564846868,-0.349645457804861,0,0,0,1,0,0,0,0,0
