ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,min.distance,year
317,255,Germany,GMY,Slovakia,SLO,317255,,All
339,325,Italy,ITA,Albania,ALB,339325,73.37341428,All
343,255,Germany,GMY,Macedonia,MAC,343255,,All
344,255,Germany,GMY,Croatia,CRO,344255,,All
344,325,Italy,ITA,Croatia,CRO,344325,35.56981216,All
344,346,Bosnia and Herzegovina,BOS,Croatia,CRO,344346,0.0,All
345,2,United States of America,USA,Yugoslavia,YUG,3452,,All
345,255,Germany,GMY,Yugoslavia,YUG,345255,,All
345,305,Austria,AUS,Yugoslavia,YUG,345305,,All
345,325,Italy,ITA,Yugoslavia,YUG,345325,,All
345,220,France,FRN,Yugoslavia,YUG,345220,,All
346,255,Germany,GMY,Bosnia and Herzegovina,BOS,346255,,All
346,325,Italy,ITA,Bosnia and Herzegovina,BOS,346325,155.8578288,All
346,344,Croatia,CRO,Bosnia and Herzegovina,BOS,346344,0.0,All
346,349,Slovenia,SLV,Bosnia and Herzegovina,BOS,346349,55.99610774,All
349,255,Germany,GMY,Slovenia,SLV,349255,,All
350,255,Germany,GMY,Greece,GRC,350255,,All
355,255,Germany,GMY,Bulgaria,BUL,355255,,All
360,2,United States of America,USA,Romania,ROM,3602,6362.445449,All
360,255,Germany,GMY,Romania,ROM,360255,,All
360,310,Hungary,HUN,Romania,ROM,360310,0.0,All
360,200,United Kingdom,UKG,Romania,ROM,360200,1493.726249,All
365,2,United States of America,USA,Russia,RUS,3652,80.57830172,All
365,290,Poland,POL,Russia,RUS,365290,1.86e-12,All
365,316,Czech Republic,CZR,Russia,RUS,365316,479.4749067,All
365,373,Azerbaijan,AZE,Russia,RUS,365373,0.0,All
365,705,Kazakhstan,KZK,Russia,RUS,365705,0.0,All
365,20,Canada,CAN,Russia,RUS,36520,1258.451255,All
365,210,Netherlands,NTH,Russia,RUS,365210,838.0954125,All
365,211,Belgium,BEL,Russia,RUS,365211,1007.341113,All
365,220,France,FRN,Russia,RUS,365220,1003.280382,All
365,225,Switzerland,SWZ,Russia,RUS,365225,1048.999522,All
365,255,Germany,GMY,Russia,RUS,365255,,All
365,305,Austria,AUS,Russia,RUS,365305,666.4660943,All
365,325,Italy,ITA,Russia,RUS,365325,976.2935442,All
365,368,Lithuania,LIT,Russia,RUS,365368,9.91e-12,All
365,369,Ukraine,UKR,Russia,RUS,365369,2.83e-12,All
365,375,Finland,FIN,Russia,RUS,365375,1.52e-12,All
365,380,Sweden,SWD,Russia,RUS,365380,209.1758029,All
365,385,Norway,NOR,Russia,RUS,365385,2.22e-12,All
365,390,Denmark,DEN,Russia,RUS,365390,307.9903366,All
365,900,Australia,AUL,Russia,RUS,365900,5919.074237,All
365,200,United Kingdom,UKG,Russia,RUS,365200,1211.063824,All
365,230,Spain,SPN,Russia,RUS,365230,1809.174361,All
367,255,Germany,GMY,Latvia,LAT,367255,,All
368,255,Germany,GMY,Lithuania,LIT,368255,,All
369,2,United States of America,USA,Ukraine,UKR,3692,6212.676052,All
369,365,Russia,RUS,Ukraine,UKR,369365,2.83e-12,All
369,370,Belarus,BLR,Ukraine,UKR,369370,0.0,All
369,210,Netherlands,NTH,Ukraine,UKR,369210,1127.018576,All
369,211,Belgium,BEL,Ukraine,UKR,369211,1161.451089,All
369,220,France,FRN,Ukraine,UKR,369220,1025.68325,All
369,255,Germany,GMY,Ukraine,UKR,369255,,All
369,316,Czech Republic,CZR,Ukraine,UKR,369316,271.0913844,All
369,325,Italy,ITA,Ukraine,UKR,369325,668.9699172,All
370,2,United States of America,USA,Belarus,BLR,3702,5852.060063,All
370,255,Germany,GMY,Belarus,BLR,370255,,All
370,365,Russia,RUS,Belarus,BLR,370365,0.0,All
373,2,United States of America,USA,Azerbaijan,AZE,3732,7291.352343,All
373,20,Canada,CAN,Azerbaijan,AZE,37320,5667.301983,All
373,220,France,FRN,Azerbaijan,AZE,373220,2923.87453,All
373,255,Germany,GMY,Azerbaijan,AZE,373255,,All
373,369,Ukraine,UKR,Azerbaijan,AZE,373369,812.7821827,All
433,220,France,FRN,Senegal,SEN,433220,3174.868593,All
437,2,United States of America,USA,Ivory Coast,CDI,4372,6789.266802,All
437,210,Netherlands,NTH,Ivory Coast,CDI,437210,4577.367089,All
437,220,France,FRN,Ivory Coast,CDI,437220,3593.802076,All
437,255,Germany,GMY,Ivory Coast,CDI,437255,,All
437,475,Nigeria,NIG,Ivory Coast,CDI,437475,587.1984949,All
450,255,Germany,GMY,Liberia,LBR,450255,,All
450,385,Norway,NOR,Liberia,LBR,450385,5676.234114,All
452,2,United States of America,USA,Ghana,GHA,4522,7120.520105,All
471,325,Italy,ITA,Cameroon,CAO,471325,2611.260625,All
471,220,France,FRN,Cameroon,CAO,471220,3169.95446,All
475,560,South Africa,SAF,Nigeria,NIG,475560,3481.834945,All
475,2,United States of America,USA,Nigeria,NIG,4752,7478.448082,All
475,20,Canada,CAN,Nigeria,NIG,47520,6438.455263,All
475,220,France,FRN,Nigeria,NIG,475220,3065.754955,All
475,255,Germany,GMY,Nigeria,NIG,475255,,All
475,325,Italy,ITA,Nigeria,NIG,475325,2544.539703,All
475,200,United Kingdom,UKG,Nigeria,NIG,475200,4114.482238,All
483,2,United States of America,USA,Chad,CHA,4832,7632.04893,All
484,2,United States of America,USA,Congo,CON,4842,9072.983162,All
484,220,France,FRN,Congo,CON,484220,4251.623853,All
490,211,Belgium,BEL,Democratic Republic of the Congo,DRC,490211,5094.677535,All
490,551,Zambia,ZAM,Democratic Republic of the Congo,DRC,490551,0.0,All
490,560,South Africa,SAF,Democratic Republic of the Congo,DRC,490560,961.5351794,All
501,2,United States of America,USA,Kenya,KEN,5012,10541.9027,All
501,200,United Kingdom,UKG,Kenya,KEN,501200,6000.307375,All
530,2,United States of America,USA,Ethiopia,ETH,5302,9911.236264,All
540,2,United States of America,USA,Angola,ANG,5402,9532.433461,All
540,20,Canada,CAN,Angola,ANG,54020,8546.912702,All
540,140,Brazil,BRA,Angola,ANG,540140,5134.945681,All
540,210,Netherlands,NTH,Angola,ANG,540210,6144.689366,All
540,220,France,FRN,Angola,ANG,540220,5079.58759,All
540,255,Germany,GMY,Angola,ANG,540255,,All
540,560,South Africa,SAF,Angola,ANG,540560,747.2734153,All
540,200,United Kingdom,UKG,Angola,ANG,540200,6225.006875,All
552,560,South Africa,SAF,Zimbabwe,ZIM,552560,17.60964385,All
560,551,Zambia,ZAM,South Africa,SAF,560551,516.2787009,All
560,572,Swaziland,SWA,South Africa,SAF,560572,0.0,All
560,255,Germany,GMY,South Africa,SAF,560255,,All
560,552,Zimbabwe,ZIM,South Africa,SAF,560552,17.60964385,All
600,325,Italy,ITA,Morocco,MOR,600325,1018.710485,All
600,255,Germany,GMY,Morocco,MOR,600255,,All
615,230,Spain,SPN,Algeria,ALG,615230,160.8232109,All
615,255,Germany,GMY,Algeria,ALG,615255,,All
615,2,United States of America,USA,Algeria,ALG,6152,5378.406312,All
615,20,Canada,CAN,Algeria,ALG,61520,4312.85924,All
615,220,France,FRN,Algeria,ALG,615220,494.0682485,All
615,200,United Kingdom,UKG,Algeria,ALG,615200,1563.240559,All
616,255,Germany,GMY,Tunisia,TUN,616255,,All
616,325,Italy,ITA,Tunisia,TUN,616325,146.6872217,All
620,2,United States of America,USA,Libya,LIB,6202,6640.654766,All
620,220,France,FRN,Libya,LIB,620220,932.2564782,All
620,225,Switzerland,SWZ,Libya,LIB,620225,1421.922493,All
620,255,Germany,GMY,Libya,LIB,620255,,All
620,325,Italy,ITA,Libya,LIB,620325,446.4200316,All
620,200,United Kingdom,UKG,Libya,LIB,620200,2157.799554,All
630,652,Syria,SYR,Iran,IRN,630652,184.1854197,All
630,640,Turkey,TUR,Iran,IRN,630640,3.53e-12,All
630,210,Netherlands,NTH,Iran,IRN,630210,3163.786245,All
630,211,Belgium,BEL,Iran,IRN,630211,3172.008898,All
630,220,France,FRN,Iran,IRN,630220,2907.516609,All
630,225,Switzerland,SWZ,Iran,IRN,630225,2827.709884,All
630,255,Germany,GMY,Iran,IRN,630255,,All
630,305,Austria,AUS,Iran,IRN,630305,2352.256834,All
630,325,Italy,ITA,Iran,IRN,630325,2181.250683,All
630,350,Greece,GRC,Iran,IRN,630350,1427.696401,All
630,380,Sweden,SWD,Iran,IRN,630380,2694.35459,All
630,770,Pakistan,PAK,Iran,IRN,630770,2.83e-12,All
630,200,United Kingdom,UKG,Iran,IRN,630200,3524.100527,All
630,750,India,IND,Iran,IRN,630750,594.2328159,All
640,210,Netherlands,NTH,Turkey,TUR,640210,1852.888315,All
640,220,France,FRN,Turkey,TUR,640220,1375.376173,All
640,225,Switzerland,SWZ,Turkey,TUR,640225,1377.647181,All
640,350,Greece,GRC,Turkey,TUR,640350,0.0,All
640,2,United States of America,USA,Turkey,TUR,6402,7048.049947,All
640,20,Canada,CAN,Turkey,TUR,64020,5365.62738,All
640,211,Belgium,BEL,Turkey,TUR,640211,1808.545972,All
640,255,Germany,GMY,Turkey,TUR,640255,,All
640,305,Austria,AUS,Turkey,TUR,640305,978.7601397,All
640,325,Italy,ITA,Turkey,TUR,640325,615.2947552,All
640,380,Sweden,SWD,Turkey,TUR,640380,1744.691281,All
640,900,Australia,AUL,Turkey,TUR,640900,9755.550191,All
640,200,United Kingdom,UKG,Turkey,TUR,640200,2171.902231,All
640,645,Iraq,IRQ,Turkey,TUR,640645,0.0,All
645,800,Thailand,THI,Iraq,IRQ,645800,5074.139247,All
645,2,United States of America,USA,Iraq,IRQ,6452,7841.339372,All
645,20,Canada,CAN,Iraq,IRQ,64520,6109.262229,All
645,210,Netherlands,NTH,Iraq,IRQ,645210,3201.208825,All
645,220,France,FRN,Iraq,IRQ,645220,2737.167272,All
645,255,Germany,GMY,Iraq,IRQ,645255,,All
645,305,Austria,AUS,Iraq,IRQ,645305,2350.282161,All
645,325,Italy,ITA,Iraq,IRQ,645325,1954.44099,All
645,640,Turkey,TUR,Iraq,IRQ,645640,0.0,All
645,652,Syria,SYR,Iraq,IRQ,645652,6.35e-12,All
645,663,Jordan,JOR,Iraq,IRQ,645663,0.0,All
645,750,India,IND,Iraq,IRQ,645750,2065.091996,All
651,220,France,FRN,Egypt,EGY,651220,1784.065107,All
