ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,immigrant.population,year
130,2,United States of America,USA,Ecuador,ECU,1302,8400.0,1960
135,2,United States of America,USA,Peru,PER,1352,7756.0,1960
135,20,Canada,CAN,Peru,PER,13520,2625.0,1960
135,160,Argentina,ARG,Peru,PER,135160,1691.0,1960
135,255,Germany,GMY,Peru,PER,135255,540.0,1960
140,2,United States of America,USA,Brazil,BRA,1402,14821.0,1960
140,255,Germany,GMY,Brazil,BRA,140255,1339.0,1960
155,20,Canada,CAN,Chile,CHL,15520,1225.0,1960
155,101,Venezuela,VEN,Chile,CHL,155101,9712.0,1960
155,160,Argentina,ARG,Chile,CHL,155160,119505.0,1960
155,211,Belgium,BEL,Chile,CHL,155211,81.0,1960
155,255,Germany,GMY,Chile,CHL,155255,876.0,1960
160,20,Canada,CAN,Argentina,ARG,16020,1909.0,1960
160,255,Germany,GMY,Argentina,ARG,160255,1230.0,1960
210,255,Germany,GMY,Netherlands,NTH,210255,68276.0,1960
220,255,Germany,GMY,France,FRN,220255,23951.0,1960
230,255,Germany,GMY,Spain,SPN,230255,52278.0,1960
255,20,Canada,CAN,Germany,GMY,25520,183947.0,1960
290,20,Canada,CAN,Poland,POL,29020,166767.0,1960
290,211,Belgium,BEL,Poland,POL,290211,31345.0,1960
290,255,Germany,GMY,Poland,POL,290255,2226485.0,1960
310,255,Germany,GMY,Hungary,HUN,310255,66670.0,1960
316,255,Germany,GMY,Czech Republic,CZR,316255,736457.0,1960
317,255,Germany,GMY,Slovakia,SLO,317255,194210.0,1960
339,325,Italy,ITA,Albania,ALB,339325,12606.0,1960
343,255,Germany,GMY,Macedonia,MAC,343255,4689.0,1960
344,255,Germany,GMY,Croatia,CRO,344255,12700.0,1960
344,325,Italy,ITA,Croatia,CRO,344325,8072.0,1960
344,346,Bosnia and Herzegovina,BOS,Croatia,CRO,344346,2.0,1960
345,2,United States of America,USA,Yugoslavia,YUG,3452,0.0,1960
345,255,Germany,GMY,Yugoslavia,YUG,345255,0.0,1960
345,305,Austria,AUS,Yugoslavia,YUG,345305,0.0,1960
345,325,Italy,ITA,Yugoslavia,YUG,345325,0.0,1960
345,220,France,FRN,Yugoslavia,YUG,345220,0.0,1960
346,255,Germany,GMY,Bosnia and Herzegovina,BOS,346255,36054.0,1960
346,325,Italy,ITA,Bosnia and Herzegovina,BOS,346325,8596.0,1960
346,344,Croatia,CRO,Bosnia and Herzegovina,BOS,346344,611.0,1960
346,349,Slovenia,SLV,Bosnia and Herzegovina,BOS,346349,618.0,1960
349,255,Germany,GMY,Slovenia,SLV,349255,3733.0,1960
350,255,Germany,GMY,Greece,GRC,350255,46203.0,1960
355,255,Germany,GMY,Bulgaria,BUL,355255,393.0,1960
360,2,United States of America,USA,Romania,ROM,3602,88406.0,1960
360,255,Germany,GMY,Romania,ROM,360255,43692.0,1960
360,310,Hungary,HUN,Romania,ROM,360310,48848.0,1960
360,200,United Kingdom,UKG,Romania,ROM,360200,5317.0,1960
365,2,United States of America,USA,Russia,RUS,3652,51871.0,1960
365,290,Poland,POL,Russia,RUS,365290,293946.0,1960
365,316,Czech Republic,CZR,Russia,RUS,365316,8679.0,1960
365,373,Azerbaijan,AZE,Russia,RUS,365373,185297.0,1960
365,705,Kazakhstan,KZK,Russia,RUS,365705,1525680.0,1960
365,20,Canada,CAN,Russia,RUS,36520,65180.0,1960
365,210,Netherlands,NTH,Russia,RUS,365210,8464.0,1960
365,211,Belgium,BEL,Russia,RUS,365211,2385.0,1960
365,220,France,FRN,Russia,RUS,365220,129036.0,1960
365,225,Switzerland,SWZ,Russia,RUS,365225,644.0,1960
365,255,Germany,GMY,Russia,RUS,365255,286209.0,1960
365,305,Austria,AUS,Russia,RUS,365305,1164.0,1960
365,325,Italy,ITA,Russia,RUS,365325,1702.0,1960
365,368,Lithuania,LIT,Russia,RUS,365368,116059.0,1960
