country,bilateral_migration,export_trade_share,migrant_ratio,same_language,touching,Total_pop_left_conflict_zone,individualPerCountry,population,gdp_millions,percent_IndividualPerCountry_of_total,v2xeg_eqdr,v2x_libdem,remittances,average_pop,average_refugee,average_gdp,total_recored_migrants,percent_IndividualPerCountry_of_recorded,average_eqdr,average_lib,average_bilateral_migration,average_export_trade_share,average_migr_ratio,average_remittances,gdp_per_cap,normalized_pop,normalized_refugee,normalized_gdp,normalized_qrdp,normalized_lib,normalized_migr_ratio,normalized_bilateral_migr,normalized_export_trade,normalized_remittances,Afghanistan,Burundi,Central African Republic,Democratic Republic of the Congo,Nigeria,Somalia,South Sudan,Syria,Ukraine,Venezuela
Angola,258105,0.11,2.1,0,1,1018762,37084,31127674,70339,0.036401043619609,0.099,0.05,1,28026335.75,81846.1666666667,68001.25,982154,0.037757826165754,0.392916666666667,0.179416666666667,121458.166666667,5.49,2.60833333333333,5.58333333333333,0.002259693416219,0.145513352582115,-0.367684862670927,0.019442511530443,-1.33029638003194,-1.23455735932773,-0.279792965138345,1.17466451043545,-0.357305808104158,-0.271064856459864,0,0,0,1,0,0,0,0,0,0
Argentina,10915,0.04,4.9,1,0,5041821,170517,45605826,455172,0.033820518419833,0.543,0.067,5,47759959.8181818,449712.909090909,415191.363636364,4946842,0.034469869868494,0.443818181818182,0.302181818181818,12500.1818181818,0.061818181818182,3.68181818181818,173.727272727273,0.009980566956511,-0.033002278592039,-0.4753314674781,0.073612216388395,0.432706050309904,-0.93434939268036,0.490913634309505,-0.116315391669717,-0.244602698893124,-0.333505854736085,0,0,0,0,0,0,0,0,0,1
Brazil,2515,0.2,0.9,0,1,5041821,316133,212688125,1645837,0.062702146704534,0.149,0.082,7,47759959.8181818,449712.909090909,415191.363636364,4946842,0.063906023277073,0.443818181818182,0.302181818181818,12500.1818181818,0.061818181818182,3.68181818181818,173.727272727273,0.007738264653939,2.52677211093521,-0.227420002035554,2.26586070460422,-1.28621972608159,-0.87475617668026,-1.12104158282618,-0.732679570730444,1.54915042632312,-0.329552660337274,0,0,0,0,0,0,0,0,0,1
Burundi,173417,0.01,2.8,1,1,1018762,84961,11865821,3193,0.083396318276496,0.363,0.16,1,28026335.75,81846.1666666667,68001.25,982154,0.086504764018677,0.392916666666667,0.179416666666667,121458.166666667,5.49,2.60833333333333,5.58333333333333,0.000269092210307,-0.758243858348964,0.025585827311223,-0.538994823181615,-0.135405840780115,-0.18522335139946,0.105495708166917,0.446656508836995,-0.363947180002005,-0.271064856459864,0,0,0,1,0,0,0,0,0,0
Cameroon,285641,13.25,2,1,1,737973,346784,26545864,44806,0.469914210953517,0.298,0.073,6,37306944.6,147077.6,32129.2,735388,0.471566030449232,0.2414,0.0514,139876.8,2.81,2.06,1.2,0.001687871225438,-0.31512308939986,1.48104614509973,0.66406151279395,0.744556396700328,0.822715371924184,-0.061141784051574,1.11145860062703,1.78801989971628,1.78885438199983,0,0,1,0,0,0,0,0,0,0
Cameroon,115519,0.57,2,1,1,336069,129266,26545864,44806,0.384641249267264,0.298,0.073,26,22301043.3333333,112023,24262.6666666667,336069,0.384641249267264,0.300333333333333,0.171,75855.6666666667,0.25,2.16666666666667,33.6666666666667,0.001687871225438,0.7883633441046,0.202705070369689,1.14979011698104,-0.028621060781941,-0.466841367893993,-0.17344807828399,0.722482391170492,1.09823715688733,-0.201313392244237,0,0,0,0,1,0,0,0,0,0
Central African Republic,34601,0.23,1.9,1,1,1018762,5702,4666368,2587,0.005596989286997,0.423,0.204,0,28026335.75,81846.1666666667,68001.25,982154,0.005805606860024,0.392916666666667,0.179416666666667,121458.166666667,5.49,2.60833333333333,5.58333333333333,0.000554392623985,-1.09603885468236,-0.62546251776669,-0.544034781255596,0.136160190868026,0.234510251771848,-0.389875443225563,-0.746654925485361,-0.349336161826742,-0.330206279687471,0,0,0,1,0,0,0,0,0,0
Chad,89598,0.16,3.2,1,1,737973,121253,16244513,12345,0.164305469170281,0.22,0.028,0,37306944.6,147077.6,32129.2,735388,0.164883027735019,0.2414,0.0514,139876.8,2.81,2.06,1.2,0.000759948913211,-0.616783644949676,-0.191518270214387,-1.03637556650086,-0.281510722427333,-0.891274986251199,1.16169389697991,-0.383378118147024,-0.453855625885836,-0.447213595499958,0,0,1,0,0,0,0,0,0,0
Chad,13199,0,3.2,1,1,336069,19658,16244513,12345,0.058493940232512,0.22,0.028,0,22301043.3333333,112023,24262.6666666667,336069,0.058493940232512,0.300333333333333,0.171,75855.6666666667,0.25,2.16666666666667,33.6666666666667,0.000759948913211,-1.12484057212412,-1.08582345442767,-0.66702005601855,-0.985382235492522,-0.681207302131031,1.07537808536074,-1.1413145228029,-0.857997778818225,-0.884028374637735,0,0,0,0,1,0,0,0,0,0
Chile,5120,0.06,7,1,0,5041821,448138,17574003,331250,0.088884155149499,0.537,0.802,2,47759959.8181818,449712.909090909,415191.363636364,4946842,0.090590724344946,0.443818181818182,0.302181818181818,12500.1818181818,0.061818181818182,3.68181818181818,173.727272727273,0.018848864427757,-0.462462149784983,-0.002681285165545,-0.154552563089192,0.406529515644043,1.98571819132455,1.33719012330574,-0.541533298533635,-0.020383558241094,-0.339435646334302,0,0,0,0,0,0,0,0,0,1
